日期,期号,策略,玩法,推荐号码,开奖号码,命中数,命中号码,结果,奖金,成本,盈亏,池命中,复盘时间
2026-06-03,2026144,kl8_v1_hot12_cold8,选四,11 14 39 31,03 04 12 24 27 30 34 50 53 55 61 63 65 69 70 72 74 75 76 77,0,-,未中奖,0,2,-2,4,2026-06-03 22:20:05
2026-06-02,2026143,kl8_v1_hot12_cold8,选四,14 26 53 11,02 03 07 11 14 23 30 31 34 38 39 41 47 51 52 60 63 68 72 78,2,11 14,选四中二,3,2,1,5,2026-06-02 22:20:50
2026-06-01,2026142,kl8_v1_hot12_cold8,选四,09 77 11 33,02 04 10 14 18 21 26 35 39 40 41 48 50 53 57 59 65 73 75 76,0,-,未中奖,0,2,-2,6,2026-06-01 22:20:27
2026-05-31,2026141,kl8_v1_hot12_cold8,选四,11 23 53 31,06 09 10 20 21 28 33 38 48 49 52 54 57 64 66 70 72 74 75 77,0,-,未中奖,0,2,-2,3,2026-05-31 22:20:07
2026-05-30,2026140,kl8_v1_hot12_cold8,选四,14 47 51 53,01 03 11 12 16 18 23 24 31 35 37 39 40 54 61 64 65 69 71 79,0,-,未中奖,0,2,-2,4,2026-05-30 22:20:02
2026-05-29,2026139,kl8_v1_hot12_cold8,选四,77 57 19 33,02 06 07 09 10 11 14 19 22 23 26 30 36 40 41 44 47 51 53 60,1,19,未中奖,0,2,-2,4,2026-05-29 22:20:32
2026-05-28,2026138,kl8_v1_hot12_cold8,选四,66 57 27 09,02 06 08 10 11 14 19 22 26 30 31 33 47 53 56 62 63 73 76 77,0,-,未中奖,0,2,-2,5,2026-05-28 22:20:31
2026-05-27,2026137,kl8_v1_hot12_cold8,选四,57 51 27 19,04 08 09 13 14 15 16 17 18 23 28 39 47 48 53 56 63 66 77 79,0,-,未中奖,0,2,-2,6,2026-05-27 22:20:15
2026-05-26,2026136,kl8_v1_hot12_cold8,选四,27 57 32 13,02 06 11 14 17 20 24 33 35 40 42 45 49 50 51 52 57 60 64 75,1,57,未中奖,0,2,-2,6,2026-05-26 22:20:42
2026-05-25,2026135,kl8_v1_hot12_cold8,选四,32 12 57 66,08 13 20 23 24 27 29 37 42 48 49 50 51 57 59 60 64 65 67 77,1,57,未中奖,0,2,-2,4,2026-05-25 22:20:15
2026-05-24,2026134,kl8_v1_hot12_cold8,选四,18 38 33 59,06 12 19 20 21 22 27 30 31 32 34 42 51 54 57 66 70 71 72 75,0,-,未中奖,0,2,-2,5,2026-05-24 23:17:12
2026-05-23,2026133,kl8_v1_hot12_cold8,选四,38 33 43 12,01 06 09 16 18 19 21 26 27 29 55 58 59 60 62 66 73 74 76 80,0,-,未中奖,0,2,-2,7,2026-05-23 22:15:59
2026-05-22,2026132,kl8_v1_hot12_cold8,选四,33 38 43 36,08 09 11 12 13 16 18 19 32 37 38 40 42 53 56 57 63 68 77 78,1,38,未中奖,0,2,-2,5,2026-05-22 22:15:39
2026-05-19,2026129,kl8_v1_hot12_cold8,选四,43 38 76 39,03 08 09 12 17 25 28 29 33 36...,3,38 43 76,选四中三,5,2,3,10,2026-05-20 19:13:49
